,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T
34,02.04.2024,RODADA 31,Burnley,Wolverhampton,1,1,1,1,0,0,0.48,0.59,49%,51%,5,5,2,1,3,4,7,5,1,3,0,1,10,5,0,1,5,6,0,0,0,0,230,237,8,10,59,36,27,18,7,10
35,02.04.2024,RODADA 31,Newcastle,Everton,1,1,1,0,0,1,1.48,0.49,62%,38%,10,4,4,1,6,3,6,4,4,0,0,0,8,13,1,3,4,6,0,0,0,0,289,186,12,11,52,48,38,22,7,11
36,02.04.2024,RODADA 31,Nottingham,Fulham,3,1,3,0,0,1,1.20,0.32,37%,63%,8,5,4,1,4,4,3,3,3,1,0,0,12,6,1,1,3,3,0,0,0,0,184,320,3,9,35,63,10,30,11,12
37,31.03.2024,RODADA 30,Manchester City,Arsenal,0,0,0,0,0,0,0.50,0.50,72%,28%,3,4,1,1,2,3,9,5,2,2,1,1,7,5,1,1,3,8,0,0,0,0,347,134,7,3,70,27,43,12,3,7
38,31.03.2024,RODADA 30,Liverpool,Brighton,2,1,1,1,1,0,1.14,0.16,57%,43%,14,3,4,1,10,2,5,16,4,2,4,2,9,1,0,3,11,4,0,0,1,1,289,217,6,14,62,28,37,12,4,12
39,30.03.2024,RODADA 30,Brentford,Manchester Utd,1,1,0,0,1,1,0.83,0.10,45%,55%,14,3,1,1,13,2,6,2,9,1,0,1,4,5,1,1,2,5,0,0,1,1,187,258,10,8,46,55,37,22,6,14
40,30.03.2024,RODADA 30,Aston Villa,Wolverhampton,2,0,1,0,1,0,0.27,0.79,50%,50%,4,7,2,2,2,5,7,7,1,2,0,1,4,10,2,1,6,6,0,0,1,1,218,222,7,10,43,41,20,34,5,7
41,30.03.2024,RODADA 30,Bournemouth,Everton,2,1,0,0,2,1,0.51,0.41,48%,52%,6,3,2,1,4,2,10,10,5,4,0,2,8,12,1,2,10,8,0,0,1,1,172,189,8,10,47,52,21,25,11,16
42,30.03.2024,RODADA 30,Chelsea,Burnley,2,2,1,0,1,2,2.66,0.40,62%,38%,16,11,7,3,9,8,2,9,7,2,1,0,6,4,3,6,9,5,0,2,2,3,256,157,4,4,55,37,30,31,6,6
43,30.03.2024,RODADA 30,Nottingham,Crystal Palace,1,1,0,1,1,0,0.15,0.89,57%,43%,5,5,1,2,4,3,5,9,2,3,2,0,15,8,1,1,7,5,0,0,0,0,274,211,7,9,56,60,19,23,5,19
