,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T,GEHT2T,GEAT2T,PBHT2T,PBAT2T,TGHT2T,TGAT2T,CGHT2T,CGAT2T,CFHT2T,CFAT2T,FCHT2T,FCAT2T,EHT2T,EAT2T,IHT2T,IAT2T,LCHT2T,LCAT2T,DGHT2T,DGAT2T,FHT2T,FAT2T,CVHT2T,CVAT2T,CAHT2T,CAAT2T,PTHT2T,PTAT2T,DHT2T,DAT2T,AHT2T,AAT2T,APHT2T,APAT2T,BACHT2T,BACAT2T
20,04.04.2024,RODADA 31,Chelsea,Manchester Utd,4,3,2,2,2,1,2.82,1.54,57%,43%,28,19,10,5,18,14,13,10,12,3,3,0,15,14,2,6,7,15,0,0,3,1,549,426,12,18,101,95,58,36,6,16,1.42,0.91,47%,53%,11,13,4,4,7,9,6,6,5,1,2,0,5,8,2,2,4,7,0,0,2,0,210,244,4,8,42,59,19,17,5,7,1.40,0.63,67%,33%,17,6,6,1,11,5,7,4,7,2,1,0,10,6,0,4,3,8,0,0,1,1,339,182,8,10,59,36,39,19,1,9
21,04.04.2024,RODADA 31,Liverpool,Sheffield Utd,3,1,1,0,2,1,1.74,0.64,83%,17%,29,5,9,3,20,2,9,6,13,1,0,1,14,7,2,6,6,9,0,0,0,1,779,164,15,17,152,60,105,11,5,40,0.60,0.53,83%,17%,14,3,5,2,9,1,4,4,3,1,0,1,8,4,2,4,4,3,0,0,0,0,406,84,6,10,71,30,48,6,2,18,1.14,0.11,83%,17%,15,2,4,1,11,1,5,2,10,0,0,0,6,3,0,2,2,6,0,0,0,1,373,80,9,7,81,30,57,5,3,22
22,03.04.2024,RODADA 31,Manchester City,Aston Villa,4,1,2,1,2,0,2.66,0.84,67%,33%,25,8,11,3,14,5,14,7,2,3,1,1,11,9,2,7,6,13,0,0,1,2,699,330,24,20,132,55,106,23,6,16,1.29,0.25,65%,35%,10,3,5,1,5,2,6,4,1,1,1,1,7,3,0,3,4,5,0,0,1,1,335,179,8,7,73,22,61,11,4,15,1.37,0.59,69%,31%,15,5,6,2,9,3,8,3,1,2,0,0,4,6,2,4,2,8,0,0,0,1,364,151,16,13,59,33,45,12,2,1
23,03.04.2024,RODADA 31,Arsenal,Luton,2,0,2,0,0,0,0.93,0.19,58%,42%,13,5,4,1,9,4,9,13,3,1,1,1,15,18,1,2,12,8,0,0,1,1,614,430,10,16,106,74,50,39,14,12,0.85,0.10,63%,37%,11,2,3,1,8,1,4,6,2,0,0,1,11,6,1,1,6,3,0,0,0,0,350,202,7,6,56,28,32,11,3,11,0.08,0.09,53%,47%,2,3,1,0,1,3,5,7,1,1,1,0,4,12,0,1,6,5,0,0,1,1,264,228,3,10,50,46,18,28,11,1
24,03.04.2024,RODADA 31,Brentford,Brighton,0,0,0,0,0,0,0.56,1.19,33%,67%,5,24,2,6,3,18,12,12,1,5,3,0,11,10,6,2,9,12,0,0,1,1,326,663,16,15,82,127,30,81,15,12,0.44,0.27,35%,65%,3,9,2,3,1,6,7,5,0,4,2,0,2,5,3,2,3,7,0,0,0,0,203,366,6,6,40,64,15,46,10,3,0.12,0.92,31%,69%,2,15,0,3,2,12,5,7,1,1,1,0,9,5,3,0,6,5,0,0,1,1,123,297,10,9,42,63,15,35,5,9
25,02.04.2024,RODADA 31,West Ham,Tottenham,1,1,1,1,0,0,1.02,0.89,32%,68%,11,13,4,4,7,9,10,16,9,5,3,1,16,19,3,3,13,9,0,0,1,4,302,662,16,21,84,107,46,65,19,17,0.60,0.45,30%,70%,5,4,2,2,3,2,3,6,6,3,1,0,8,8,1,1,7,4,0,0,0,1,138,342,7,14,40,56,25,31,10,10,0.42,0.44,34%,66%,6,9,2,2,4,7,7,10,3,2,2,1,8,11,2,2,6,5,0,0,1,3,164,320,9,7,44,51,21,34,9,7
26,02.04.2024,RODADA 31,Bournemouth,Crystal Palace,1,0,0,0,1,0,1.22,0.10,50%,50%,11,3,6,2,5,1,18,13,9,2,0,4,24,27,2,5,13,14,0,0,3,2,442,457,20,29,101,123,50,45,23,27,0.51,0.10,53%,47%,6,2,2,2,4,0,9,4,5,0,0,2,11,13,2,2,4,7,0,0,0,1,224,205,9,15,60,48,25,19,7,13,0.71,0.00,47%,53%,5,1,4,0,1,1,9,9,4,2,0,2,13,14,0,3,9,7,0,0,3,1,218,252,11,14,41,75,25,26,16,14
27,02.04.2024,RODADA 31,Burnley,Wolverhampton,1,1,1,1,0,0,0.98,0.84,51%,49%,13,8,6,2,7,6,18,12,7,4,2,5,23,10,1,5,10,12,0,0,0,2,468,468,16,18,131,69,75,27,13,29,0.48,0.59,49%,51%,5,5,2,1,3,4,7,5,1,3,0,1,10,5,0,1,5,6,0,0,0,0,230,237,8,10,59,36,27,18,7,10,0.50,0.25,53%,47%,8,3,4,1,4,2,11,7,6,1,2,4,13,5,1,4,5,6,0,0,0,2,238,231,8,8,72,33,48,9,6,19
28,02.04.2024,RODADA 31,Newcastle,Everton,1,1,1,0,0,1,2.67,1.48,58%,42%,18,10,6,3,12,7,14,11,7,3,2,0,20,26,2,5,9,14,0,0,0,3,495,361,21,17,109,92,68,53,19,29,1.48,0.49,62%,38%,10,4,4,1,6,3,6,4,4,0,0,0,8,13,1,3,4,6,0,0,0,0,289,186,12,11,52,48,38,22,7,11,1.19,0.99,54%,46%,8,6,2,2,6,4,8,7,3,3,2,0,12,13,1,2,5,8,0,0,0,3,206,175,9,6,57,44,30,31,12,18
29,02.04.2024,RODADA 31,Nottingham,Fulham,3,1,3,0,0,1,1.51,1.24,33%,67%,16,18,4,3,12,15,8,8,3,8,2,0,16,16,2,1,7,8,0,0,1,0,324,629,11,15,60,126,27,90,36,13,1.20,0.32,37%,63%,8,5,4,1,4,4,3,3,3,1,0,0,12,6,1,1,3,3,0,0,0,0,184,320,3,9,35,63,10,30,11,12,0.31,0.92,29%,71%,8,13,0,2,8,11,5,5,0,7,2,0,4,10,1,0,4,5,0,0,1,0,140,309,8,6,25,63,17,60,25,1
