,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T
39,01.04.2024,RODADA 31,Modena,Bari,1,1,0,0,1,1,1.06,0.36,52%,48%,8,8,2,4,3,3,12,17,2,3,2,1,20,19,3,1,0,0,11,13,4,1,448,423,22,14,122,77,41,29,11,23
40,17.03.2024,RODADA 30,Ascoli,Lecco,4,1,2,1,2,0,1.83,2.40,46%,54%,10,15,7,6,3,5,18,16,5,4,2,4,17,21,5,3,0,0,16,16,2,2,293,358,15,12,112,76,44,22,9,17
41,16.03.2024,RODADA 30,Bari,Sampdoria,0,1,0,0,0,1,1.68,0.94,52%,48%,14,11,3,4,6,2,10,19,7,5,1,5,16,15,3,3,0,0,8,17,3,3,422,398,8,14,106,96,53,26,17,19
42,16.03.2024,RODADA 30,Cittadella,Modena,1,1,1,1,0,0,0.63,1.23,55%,45%,9,14,3,4,2,4,13,16,6,5,2,0,24,32,3,2,0,0,14,13,2,2,429,355,10,13,116,101,32,38,21,19
43,16.03.2024,RODADA 30,Reggiana,Spezia,0,0,0,0,0,0,0.36,1.17,49%,51%,11,15,0,5,10,7,11,21,3,7,2,1,13,22,5,0,9,16,1,0,3,4,389,393,10,11,67,119,26,54,18,18
44,16.03.2024,RODADA 30,Brescia,Catanzaro,1,1,0,1,1,0,1.14,0.90,50%,50%,18,13,3,6,9,4,10,17,9,6,1,3,17,7,5,2,0,0,7,15,2,2,425,435,10,9,97,72,49,35,18,19
45,16.03.2024,RODADA 30,Como,Pisa,3,1,2,0,1,1,1.62,0.86,45%,55%,10,9,6,2,2,5,15,19,1,2,2,3,28,14,1,3,0,0,11,17,4,2,395,482,12,22,78,96,37,29,12,10
46,16.03.2024,RODADA 30,FeralpiSalo,Parma,1,2,0,1,1,1,0.68,0.81,45%,55%,11,17,2,5,6,5,12,12,4,9,5,0,17,7,3,1,0,0,11,6,1,1,377,478,19,13,113,105,48,55,8,24
47,16.03.2024,RODADA 30,Sudtirol,Cremonese,3,0,1,0,2,0,1.05,1.49,38%,62%,7,18,4,2,3,12,13,10,0,7,3,3,17,13,2,1,0,0,0,0,9,6,327,493,9,11,79,137,22,87,30,9
48,16.03.2024,RODADA 30,Ternana,Cosenza,1,0,0,0,1,0,0.92,1.10,46%,54%,17,13,3,7,6,5,9,13,9,6,1,1,23,22,7,2,0,0,6,13,4,2,375,445,17,15,99,109,57,41,19,26
